job_name,input_size,tasks,vcores,vmem,duration
ScalaWordCount,64gb,2,2,25gb,458
ScalaWordCount,64gb,2,2,17gb,455
ScalaWordCount,64gb,2,2,10gb,457
ScalaWordCount,64gb,2,2,7gb,457
ScalaWordCount,64gb,2,2,4gb,460
ScalaWordCount,64gb,2,2,1gb,462
ScalaWordCount,64gb,1,1,20gb,498
ScalaWordCount,64gb,1,2,20gb,377
ScalaWordCount,64gb,1,3,20gb,271
ScalaWordCount,64gb,1,5,20gb,267
ScalaWordCount,64gb,1,7,20gb,231
ScalaWordCount,64gb,1,9,20gb,236
ScalaWordCount,64gb,1,12,20gb,238
ScalaWordCount,64gb,1,15,20gb,217
ScalaWordCount,64gb,2,28,25gb,283
ScalaWordCount,64gb,3,18,17000mb,302
ScalaWordCount,64gb,4,14,12800mb,294
ScalaWordCount,64gb,5,11,10gb,293
ScalaWordCount,64gb,6,9,8500mb,290
ScalaKMeans,TODO,3,3,5gb,3928
